		time (s)		A (uM)			B (uM)
   0.0000000e+00   2.0000000e+00   5.0000000e+00
   1.0000000e-02   1.9034364e+00   4.9034364e+00
   1.0974988e-02   1.8943764e+00   4.8943764e+00
   1.2045035e-02   1.8845028e+00   4.8845028e+00
   1.3219411e-02   1.8737498e+00   4.8737498e+00
   1.4508288e-02   1.8620475e+00   4.8620475e+00
   1.5922828e-02   1.8493221e+00   4.8493221e+00
   1.7475284e-02   1.8354961e+00   4.8354961e+00
   1.9179103e-02   1.8204884e+00   4.8204884e+00
   2.1049041e-02   1.8042147e+00   4.8042147e+00
   2.3101297e-02   1.7865877e+00   4.7865877e+00
   2.5353645e-02   1.7675178e+00   4.7675178e+00
   2.7825594e-02   1.7469141e+00   4.7469141e+00
   3.0538555e-02   1.7246846e+00   4.7246846e+00
   3.3516027e-02   1.7007381e+00   4.7007381e+00
   3.6783798e-02   1.6749847e+00   4.6749847e+00
   4.0370173e-02   1.6473381e+00   4.6473381e+00
   4.4306215e-02   1.6177168e+00   4.6177168e+00
   4.8626016e-02   1.5860463e+00   4.5860463e+00
   5.3366992e-02   1.5522611e+00   4.5522611e+00
   5.8570208e-02   1.5163078e+00   4.5163078e+00
   6.4280731e-02   1.4781470e+00   4.4781470e+00
   7.0548023e-02   1.4377565e+00   4.4377565e+00
   7.7426368e-02   1.3951343e+00   4.3951343e+00
   8.4975344e-02   1.3503010e+00   4.3503010e+00
   9.3260335e-02   1.3033036e+00   4.3033036e+00
   1.0235310e-01   1.2542172e+00   4.2542172e+00
   1.1233240e-01   1.2031483e+00   4.2031483e+00
   1.2328467e-01   1.1502363e+00   4.1502363e+00
   1.3530478e-01   1.0956551e+00   4.0956551e+00
   1.4849683e-01   1.0396141e+00   4.0396141e+00
   1.6297508e-01   9.8235825e-01   3.9823583e+00
   1.7886495e-01   9.2416678e-01   3.9241668e+00
   1.9630407e-01   8.6535174e-01   3.8653517e+00
   2.1544347e-01   8.0625494e-01   3.8062549e+00
   2.3644894e-01   7.4724391e-01   3.7472439e+00
   2.5950242e-01   6.8870686e-01   3.6887069e+00
   2.8480359e-01   6.3104655e-01   3.6310466e+00
   3.1257158e-01   5.7467325e-01   3.5746733e+00
   3.4304693e-01   5.1999678e-01   3.5199968e+00
   3.7649358e-01   4.6741787e-01   3.4674179e+00
   4.1320124e-01   4.1731891e-01   3.4173189e+00
   4.5348785e-01   3.7005434e-01   3.3700543e+00
   4.9770236e-01   3.2594079e-01   3.3259408e+00
   5.4622772e-01   2.8524728e-01   3.2852473e+00
   5.9948425e-01   2.4818583e-01   3.2481858e+00
   6.5793322e-01   2.1490284e-01   3.2149028e+00
   7.2208090e-01   1.8547173e-01   3.1854717e+00
   7.9248290e-01   1.5988762e-01   3.1598876e+00
   8.6974900e-01   1.3806461e-01   3.1380646e+00
   9.5454846e-01   1.1983671e-01   3.1198367e+00
   1.0476158e+00   1.0496283e-01   3.1049628e+00
   1.1497570e+00   9.3136520e-02   3.0931365e+00
   1.2618569e+00   8.4000457e-02   3.0840005e+00
   1.3848864e+00   7.7164876e-02   3.0771649e+00
   1.5199111e+00   7.2228742e-02   3.0722287e+00
   1.6681005e+00   6.8801504e-02   3.0688015e+00
   1.8307383e+00   6.6522978e-02   3.0665230e+00
   2.0092330e+00   6.5078973e-02   3.0650790e+00
   2.2051307e+00   6.4210860e-02   3.0642109e+00
   2.4201283e+00   6.3718383e-02   3.0637184e+00
   2.6560878e+00   6.3456260e-02   3.0634563e+00
   2.9150531e+00   6.3326175e-02   3.0633262e+00
   3.1992671e+00   6.3266389e-02   3.0632664e+00
   3.5111917e+00   6.3241132e-02   3.0632411e+00
   3.8535286e+00   6.3231402e-02   3.0632314e+00
   4.2292429e+00   6.3228015e-02   3.0632280e+00
   4.6415888e+00   6.3226960e-02   3.0632270e+00
   5.0941380e+00   6.3226669e-02   3.0632267e+00
   5.5908102e+00   6.3226598e-02   3.0632266e+00
   6.1359073e+00   6.3226584e-02   3.0632266e+00
   6.7341507e+00   6.3226581e-02   3.0632266e+00
   7.3907220e+00   6.3226581e-02   3.0632266e+00
   8.1113083e+00   6.3226580e-02   3.0632266e+00
   8.9021509e+00   6.3226580e-02   3.0632266e+00
   9.7700996e+00   6.3226580e-02   3.0632266e+00
   1.0722672e+01   6.3226580e-02   3.0632266e+00
   1.1768120e+01   6.3226580e-02   3.0632266e+00
